German,English
carver,carver
direkter,direct
vorgeworfen,accused
grundsätzlich,basically
lagerfeuer,campfire
kleineren,smaller
showtime,show time
gamera,gamera
beistehen,assist
degen,sword
peking,Beijing
yan,yan
verbot,prohibition
punk,punk
herrschte,prevailed
zugemacht,closed it
intim,intimate
übertreibt,exaggerated
wimmern,whimper
flüchtling,refugee
wirke,work
gegengift,antidote
cupcakes,Cupcakes
schuften,work
strauß,ostrich
gesundes,healthy
aspekt,aspect
ex-freund,ex boyfriend
beeren,Berry
rückzieher,backed out
prime,prime
rosemary,Rosemary
unfreundlich,unfriendly
anzuschauen,look at
verachtet,despised
dell,dell
baronin,baroness
sons,mind
piepton,beep
dagelassen,put on
kalter,cold
kitzelt,tickle
übelkeit,nausea
rauskam,came out
minimum,minimum
niesen,sneeze
kal-el,Kal-El
siebte,seventh
anzulügen,to lie
denker,thinker
ag,AG
viert,fourth
auferstanden,risen
tantchen,tooth
siegt,wins
meldest,report
tiefes,deep
vertrauten,confidante
vollidioten,full idiots
meeres,sea
getarnt,disguised
stellvertretende,deputy
upper,upper
trinker,drinker
ungeachtet,regardless
ungerechtigkeit,injustice
sergei,Sergei
nassen,wet
walnut,walnut
lauern,lurk
glotzen,glow
darhk,darhk
erstattet,reimbursed
breitet,dilapidated
noble,noble
rush,rush
sí,sí
gebrochenes,broken
mamma,mamma
vermietet,rented
gebraten,fried
zeitlang,for a while
cambridge,Cambridge
überglücklich,overjoyed
aaah,Aaah
werten,evaluate
iowa,Iowa
realisiert,realized
tardis,Tardis
jacobs,jacobs
ungelegen,inconvenient
erlebe,experience
primitiv,primitive
apophis,apophis
lindsey,lindsey
buffet,buffet
aufgegangen,risen
erlebte,experienced
verschwommen,blurred
ich-,I-
spielsachen,toys
geschmuggelt,smuggled
tyrann,bully
verbesserung,improvement
karneval,carnival
briefmarken,stamps
ufo,UFO
milan,Milan
filter,filter
beatles,Beatles
zischt,hiss
durchsetzen,push through
lauert,lurk
reitest,riding test
bestätigte,confirmed
gehorche,obey
durchgang,passage
endlose,endless
ridge,ridge
zauberhafte,magical
angehörige,relative
illegales,illegal
heile,heal
palme,Palm tree
organisierte,organized
lucille,Lucille
todeszeitpunkt,time of death
geiste,spirit
befinde,find
gemahlin,wife
agieren,act
besteigen,climb
tanja,Tanja
größtes,largest
touchdown,touchdown
paaren,pair
scans,scan
rausgekriegt,got out
vierzehn,fourteen
vermischt,mixed
rausbekommen,get out
weicht,gay
unübersetztes,unsurpassed
bergab,downhill
schraube,screw
cortez,Cortez
aufschneiden,cut open
grundgütiger,My God
erdgeschoss,ground floor
ordnen,arrange
miliz,militia
erfordern,require
zig,umpteen
gurken,cucumber
viertelstunde,quarter of an hour
tech,tech
demut,humility
amis,Americans
oberin,superior
geizig,stingy
diamond,Diamond
aussehend,looking
raubt,stuck
skeptisch,skeptical
erich,Erich
todesfälle,deaths
göttlich,divine
absitzen,serve
konflikte,conflicts
schmeiße,flatter
visum,visa
mücken,mosquito
ansah,looked
romane,novels
gral,grail
aufgefordert,asked
channing,channeling
unglücklichen,unhappy
verlag,publisher
schnaubt,snort
saubermachen,clean up
niko,Niko
symptom,symptom
beschossen,shot at
princeton,princeton
flüchtige,fleeting
geschick,skill
täubchen,die
familienmitglied,family member
zügel,rein
strömen,stream
bestehst,exist
zurückgeholt,back
abrechnung,invoice
schiessen,shoot
finanzamt,Tax office
rampenlicht,spotlight
geschleppt,dragged
peilsender,dandruff
through,throughout
yin,yin
gasthaus,Inn
elle,ell
zucken,pull out
pennen,sleep
volltrottel,dawders
atemberaubend,breathtaking
gisborne,Gisborne
hayden,Hayden
stiegen,climb
gewaltigen,tremendous
verwirklichen,realize
physische,physical
spiegelbild,reflection
vin,vin
parrish,parrish
sexualität,sexuality
herzlos,heartless
remy,remy
kosmos,cosmos
pakete,packages
eliza,Eliza
herkamen,came from
norton,Norton
gino,Gino
anbietet,offers
singapur,Singapore
wã,Wea
kommode,dresser
einzudringen,penetrate
terminal,terminal
verdrängen,push away
endstation,final destination
betreuer,supervisor
alarmbereitschaft,alert
erkenntnisse,findings
neuling,newcomer
verehrter,worshiper
troll,troll
buchmacher,bookmaker
betete,prayer
pflegte,cared for
rhonda,Rhonda
sicherheitschef,chief security chief
thunfisch,tuna
würgt,spoiled
capitaine,capitaine
verringern,reduce
conway,conway
geschöpfe,creatures
vlad,vlad
intelligenter,intelligent
klügste,clever
eigenhändig,hand -handed
sperr,lock
nachfragen,ask
merkwürdiger,strangely
schlapp,limp
dreharbeiten,filming
mittels,by means of
notfalls,if necessary
wärmen,to warm
spannungen,tensions
verehren,worship
felicia,Felicia
verabredungen,appointments
lösungen,solutions
gutaussehend,good looking
brachtest,brown test
feuchten,wet
angelina,Angelina
pokal,cup
prämie,bonus
herauskommt,comes out
leiterin,leader
muse,muse
verdächtiges,suspicious
dreist,brazen
ess,eating
rumpf,hull
knarrt,creak
wandte,walled
überwachungskamera,Security Camera
wanderer,walker
gepinkelt,peed
abholt,pick -up
wiederholung,repetition
hofften,hoped
playboy,playboy
hoffst,hope
verhungert,starved
tang,tang
unbezahlbar,priceless
finster,dark
shin,shin
huhu,huhu
kamel,camel
rumliegen,lying around
petra,Petra
superstar,superstar
fünfmal,five times
abwenden,avert
bauernhof,farm yard
kopfweh,headache
strengen,strict
melone,melon
wundere,wonders
prozedur,procedure
psyche,psyche
heimgehen,go home
freundschaften,friendships
loben,praise
coolste,coolest
ohrring,Earring
handynummer,mobile number
architektur,architecture
ungeschehen,undo
jt,jt
vergangene,past
lädst,invalid
rassistisch,racist
neugierde,curiosity
magda,magda
ausgefüllt,filled
nahmst,took
limit,limit
anzufassen,to touch
sibirien,Siberia
männlichkeit,masculinity
law,law
liza,liza
flicken,patch
geheult,crushing
wohnmobil,Camper
überallhin,everywhere
scherben,shards
ineinander,in each other
exzellente,excellent
trümmer,debris
blutprobe,blood sample
schiefgeht,goes wrong
dong,dong
lockerer,looser
cafe,coffee shop
gerichtsmedizin,forensic medicine
son,son
ahmed,Ahmed
gedankt,groove
salazar,Salazar
mad,mad
fingerabdruck,fingerprint
schokoriegel,chocolate bar
spionieren,spy
reservat,reserve
selbstachtung,Self-esteem
einreden,interpret
mandeln,almond
laterne,Lantern
schreiber,writer
stay,stay
weir,graceful
unvermeidlich,inevitable
schürze,apron
juice,juice
reagierte,reacted
jaguar,jaguar
bezaubernde,enchanting
weggezogen,pulled away
cecil,cecil
verarbeitet,processed
x.,X.
individuum,individual
moretti,Moretti
lynch,lynch
zünde,over
rangers,Rangers
entsorgt,disposed
abhängt,dependent
telefoniere,telephone
institution,institution
geringe,low
duftet,smell
lebensende,end of life
ernsten,serious
hämmert,pounding
erschuf,created
edel,noble
temple,temple
hocken,crouch
dienerin,servant
tripp,trip
organ,organ
brunch,brunch
mort,mort
ex-freundin,ex girlfriend
psychische,mental
amor,amor
glory,glory
abschiedsbrief,farewell letter
abwehr,defense
eigenem,own
oberhaupt,head
moschee,mosque
us-regierung,U.S. government
zerlegt,broken
behutsam,careful
zweig,branch
hundertprozentig,hundred percent
timings,timings
muttermal,birthmark
schwiegertochter,daughter in law
fremdes,foreign
tribut,tribute
poet,poet
gesteht,confessed
blockade,blockade
zurückgeschickt,sent back
kollektion,collection
sauna,sauna
wachst,grows
geburtsurkunde,birth certificate
traditionelle,traditional
gespritzt,sprayed
stillgestanden,steadily
erfrieren,freeze
lea,league
libby,libby
ghost,ghost
gerammt,rammed
kendra,Kendra
gegriffen,grab
rayburn,rayburn
orion,Orion
modelle,models
i-ich,i-ich
schnappte,snapped
schwefel,sulfur
gekotzt,vomited
angestrengt,strained
stärkere,stronger
protokolle,protocols
klarzustellen,to clarify
yards,yards
nordpol,North Pole
eclair,eclair
rechtlich,legally
mülltonne,garbage can
auferstehung,resurrection
ablassen,let off
leiht,loan
angeführt,led
begabung,talent
ruhiges,calm
reno,Reno
pilger,pilgrim
möse,cunt
übernatürliche,supernatural
specter,specter
bezwingen,conquer
kendall,kendall
anzieht,put on
amerikanisches,American
hockey,hockey
missachtung,disregard
va,va
simple,simple
ausbilder,instructor
hoover,Hoover
anerkennen,recognize
kälter,colder
kenntnisse,expertise
augenblicke,moments
marcello,Marcello
arbeitstag,working day
hergeben,give up
falcon,Falcon
typischer,typical
choi,choi
siedler,settler
bestehlen,steal
gezeugt,pervasively
fälschen,falsify
cromwell,Cromwell
callahan,Callahan
pole,pole
hellen,light
clarissa,Clarissa
leckere,tasty
nana,nana
anzulegen,to create
ahsoka,ahsoka
schnüffelt,sniffing
untergetaucht,submerged
intersect,intersect
abzunehmen,to decrease
apotheker,pharmacist
dock,dock
scylla,scylla
hobbys,hobbies
mitgespielt,played
elenden,miserable
oliven,olive
flinte,shotgun
gitarrenmusik,guitar music
geoff,geoff
morning,rosing
deo,deodorant
geweigert,refused
schmuggler,smuggler
scooter,scooter
myers,myers
key,key
aufbau,construction
alphonse,alphon
ram,R.A.M
hélène,Hélène
nebraska,Nebraska
waschlappen,washcloth
einwanderer,immigrant
erzielt,achieved
mg,mg
badeanzug,swimsuit
dünner,thinner
faire,fair
temperaturen,temperatures
erklingt,sound
capitán,capitán
mucks,mucks
vulgär,vulgar
unterwerfen,subdue
must,must
campen,camp
werwölfe,werewolves
schwerste,hardest
dakota,Dakota
bordeaux,bordeaux
ungünstig,unfavorable
dargestellt,depicted
komplexe,complex
zimmermädchen,maid
abgeordneten,deputy
leihst,loan
thorne,thorne
geradewegs,straight
aufgedeckt,revealed
beschimpft,insulted
gebäck,pastries
mitfahrgelegenheit,ride
patrik,patrik
diplom,diploma
marys,Marys
kandidieren,run for
einführen,introduce
sharp,Sharp
opium,opium
bedenke,think
verspielt,playful
grabe,grave
mieze,kitty
ursprüngliche,original
fahrkarten,tickets
summers,Summers
reinstecken,put in
syd,Syd
aufzutauchen,emerge
neunten,ninth
widerliche,disgusting
kupfer,copper
lacher,laugh
antenne,antenna
aufessen,eat up
filmtiger,film tiger
klärt,clear
casting,casting
selbstständig,self-employed
brillanter,brilliant
spendieren,give
snake,snake
kings,kings
order,order
kleiden,dress
cheng,cheng
autorin,author
privater,private
anzupassen,adapt
bezeichnung,designation
wahnsinnigen,insane
leuchtturm,lighthouse
läuse,lice
aufgeteilt,divided up
kabinett,cabinet
hopper,hopper
grüßt,greetings
verkabelt,wired
hingen,hang
ungestraft,unpunished
auffahrt,Driveway
auffressen,eat up
katholischen,Catholic
wing,wing
zusammenbrechen,to collapse
gerechte,just
ausblick,outlook
aufzuklären,to clarify
berühmtheit,celebrity
handschuhfach,glove compartment
nathaniel,Nathaniel
scheißding,shit
verbluten,bite
kneifen,pinch
versicherungen,insurance
caldwell,Caldwell
annimmt,accepts
hineingezogen,pulled in
geortet,located
klassentreffen,class reunion
müttern,mothers
myrtle,myrtle
längste,longest
update,update
zitterst,trembling
hektar,hectare
altern,aging
berger,Berger
miserabel,miserable
affären,affair
profitiert,benefited
katalog,Catalog
hurley,hurley
scherzt,jokes
schaukeln,rock
bauchschmerzen,stomach pain
autorisiert,authorized
absuchen,search
mondes,moon
titanic,Titanic
together,together
sabotiert,sabotaged
entlasten,relieve
mathias,Mathias
karibik,Caribbean
regelrecht,veritable
einfrieren,freeze
deke,dece
bedeutend,significant
weiterziehen,move on
matte,mat
rampe,ramp
waage,scale
ausgeruht,rested
corps,corps
tamara,Tamara
weggebracht,moved away
unschuldiges,innocent
erlangt,obtained
aufzuräumen,tidy up
bemerkungen,Remarks
aktuell,current
brocken,chunk
tacos,tacos
zahlungen,payments
machbar,makeable
dream,dream
schwachköpfe,weak heads
apple,Apple
kreuzzug,crusade
stehle,standing
großmaul,tall mouth
farbige,colored
elch,Moose
beleuchtung,lighting
zynisch,cynical
bethany,Bethany
iv,IV
ausgelacht,laughed at
verkuppeln,couple
heimatstadt,Hometown
rocco,rocco
schwaches,weakness
salami,salami
hinterhof,backyard
eingestiegen,climbed
kompromisse,compromises
vorstellungskraft,imagination
beantrage,request
kennenlernten,get to know each other
bedrohlich,threatening
chaplin,chaplin
j.j.,J.J.
knallhart,tough
übergibt,overlap
wackelt,wobble
kraftwerk,power plant
lenk,steering
falken,falcon
walten,act
mitgift,dowry
tätigen,make
losgeworden,got rid of
hallen,hall
aktentasche,briefcase
zusammengestellt,compiled
blinzeln,blink
greene,Greene
wortwörtlich,literally
tresorraum,vault
zivilisiert,civilized
amüsier,amusing
ventil,Valve
schlich,crazy
patti,patti
erlöser,Redeemer
even,even
vergebens,in vain
zaubertrank,potion
anschaut,look at
brise,breeze
krishna,Krishna
ausländische,foreign
husch,shower
crews,crews
ames,Ames
unverantwortlich,irresponsible
stabilisiert,stabilized
redakteur,editor
schwachstelle,weak spot
scharfes,sharp
matrose,sailor
wegzugehen,go away
chevy,chevy
brutalen,brutal
luigi,Luigi
glänzend,glittering
überreagiert,overreact
pimmel,willie
straßenrand,roadside
junkies,junkies
attraktiver,more attractive
ecstasy,ecstasy
heimkommen,come home
talk,talc
frachtraum,cargo dream
unangemessen,inappropriate
heiss,hot
bombardiert,bombarded
bündel,bunch
außenposten,outpost
kitschig,kitschy
anschuldigung,accusation
zeichne,draw
castro,Castro
wanzen,bug
wichtigkeit,importance
willard,Willard
spa,spa
juwelier,jeweler
mediziner,doctor
vertretung,stand-in
umlauf,circulation
sascha,Sascha
zurückverfolgt,traced back
saugt,sucking
spannungsgeladene,voltage
prügelei,beating
zusammenziehen,move in
hochkommen,getting high
besiegelt,sealed
aufdecken,discover
mendez,mendez
subtitles,subtitles
meere,sea
con,con
schrein,shrine
bedrohte,threatened
counsellor,counic
faucht,hissed
akira,Akira
raylan,Raylan
schleim,mucus
werf,advertising
reizenden,lovely
ausgezeichneter,excellent
beherrschung,mastery
röntgen,roentgen
knecht,servant
kaputtgemacht,destroyed
abgedreht,crazy
sitten,morals
plakat,poster
ausdauer,endurance
verabreichen,administer
gaul,gaul
schiebe,slide
biber,beaver
bub,boy
schlussfolgerung,conclusion
kamui,Kamui
gebieten,put
hierlassen,leave here
kanäle,channels
tschuldige,chic
blah,blah
hurensöhne,groaned sons
abgestimmt,Voted
twitter,twitter
rausfindet,find out
zugabe,encores
barfuß,barefoot
flehen,plead
allergie,allergy
roh,raw
geblendet,blinded
mackenzie,Mackenzie
rücktritt,resignation
abgekauft,bought
mische,mix
aufschlag,surcharge
aussehende,looking
landeten,land
nützliches,useful
bombardieren,bomb
polo,polo
kanne,jug
aufmuntern,cheer up
weinend,weeping
beibehalten,keep
felipe,felipe
hercule,Hercule
verleugnen,deny
eingeklemmt,trapped
einkäufe,purchases
0h,0h
movie,movie
amtes,office
waldorf,Waldorf
salt,salt
marjorie,marjorie
loszulassen,let go
duane,duan
spukt,haunted
patsche,punch
einblick,insight
bestreitet,contested
merlyn,Merlyn
vorlegen,present
hochzeitskleid,Wedding dress
addy,addy
mitarbeitern,employees
holodeck,holodeck
genugtuung,satisfaction
willoughby,Willoughby
norm,standard
impulsiv,impulsive
allerbeste,very best
krämpfe,cramps
werbespot,commercial
feierlich,solemnly
gefängnisse,prisons
beruhen,be based
allesamt,all
TRUE,True
open,open
klappert,rattled
heiden,pagan
durchlaucht,Highness
zar,tsar
rabbit,rabbit
abgesperrt,locked
unsre,ours
stinkenden,stinking
gerda,Gerda
parkt,parking
alfonso,alfonso
met,mead
betrübt,sad
ignorier,ignorator
deienn,deh
cleverer,clever
pfeif,whistle
nachhilfe,tutoring
gerächt,crazy
tracht,costume
dings,things
gringo,gringo
zunichte,destroy
shake,shake
drogenhandel,drug trafficking
perez,perez
baracke,barrack
mcqueen,McQueen
grunzen,grunt
reinfall,slack
dickie,thickie
oleg,Oleg
mitbürger,fellow citizen
netteste,nicest
kräftiger,stronger
lexi,lexi
jämmerlich,miserable
wecke,wake
einbauen,incorporate
kriecht,crawl
problemlos,easy
lauschen,listen
lise,lise
ser,serum
mercy,mercy
träne,tear
grunzt,grunzt
fuss,foot
politisches,political
zimmermann,carpenter
almanzo,almanzo
gläschen,glass
unterhaltsam,entertaining
streck,extension
play,play
kürzen,reduce
devlin,Devlin
zitiert,quoted
klassen,class
skorpion,Scorpio
mächtigsten,most powerful
gurt,belt
einigung,agreement
dürre,drought
untere,lower
ärmste,poorest
nine,nine
eingeschätzt,estimated
befallen,affect
schmieden,forge
eingesteckt,plugged in
irischen,Irish
tausche,swap
drucker,printer
hutchinson,Hutchinson
jährlich,yearly
verwundete,wounded
wandeln,convert
lagst,was located
qualitäten,qualities
vertrauenswürdig,trustworthy
zeb,zeb
jonny,Jonny
kreuze,crosses
massieren,massage
transporterraum,van
kar,kar
gleichung,equation
reimt,rhyme
sympathie,sympathy
südlichen,southern
nachlässig,careless
gage,fee
ausgerichtet,aligned
inspirieren,to inspire
militärs,military
peru,Peru
rädern,wheels
gefroren,frozen
schotten,scot
alfredo,alfredo
durchgekommen,came through
verschlungen,devoured
begegnete,met
zwinge,ferrule
fügt,adds
youtube,YouTube
wiedererkannt,recognized
einklang,clash
leopard,leopard
zukommt,gone
hälst,keep
benedict,Benedict
shaolin,Shaolin
reingegangen,gone
signatur,signature
unbedeutend,insignificant
hinterzimmer,back room
einführung,introduction
henrys,Henrys
skala,scale
leidtun,to hurt
poppy,poppy
hohem,high
röhre,tube
pilz,mushroom
mutanten,mutant
beklaut,stunned
totschlag,homicide
existiere,exist
vorzüge,advantages
erwerben,acquire
auftritte,appearances
control,control
ausrasten,freak out
gewendet,turned
abwaschen,wash off
rodeo,rodeo
billiges,cheap
abwärts,down
gefallenen,fallen
aufschub,delay
clem,clem
anhalter,hitchhiker
jammert,whine
geschwollen,swollen
zuhörer,listeners
andrej,Andrej
alarmiert,alarmed
wendell,Wendell
gerichtshof,Court
vorhabe,project
rituale,ritual
faszinierende,fascinating
versuchs,trial
lyndsey,lyndsey
schlafanzug,pajamas
vernünftigen,reasonable
hinterlasst,leak
todesangst,fear of death
klassischen,classic
ehrengast,Guest of honor
magic,magic
zahltag,payday
hübscheste,prettiest
cello,cello
bestürzt,dismay
widerspricht,contradict
überzogen,overdrawn
zehnten,tithe
sea,Sea
launen,mood
snack,snack
aj,AJ
casa,Casa
kreide,chalk
lyon,lyon
hack,hack
fisk,fisk
rennbahn,racetrack
trunkenheit,drunkenness
allemal,always
hergebeten,ask
geschäftsreise,Business trip
pine,pine
krankenschwestern,nurses
teilten,shared
vertuscht,covered up
mitmenschen,fellow men
vorzüglich,excellent
lokalisiert,located
beieinander,together
reingesteckt,put in
brüderchen,brother
wiederkomme,come back
anmut,Gracefulness
traute,traut
geordi,geordi
abstürzen,crash
unschlagbar,unbeatable
nan,nan
anmerken,note
angels,Angels
alvin,alvin
connors,Connors
zivilist,civilian
lebwohl,welfare
altersheim,retirement home
riff,reef
oberschenkel,thigh
missbrauchen,abuse
unvernünftig,unreasonable
pastete,pate
schwächling,weakling
ermutigen,encourage
rausgegangen,went out
happen,bump
geflirtet,flirted
reale,real
hergezogen,pulled out
enormen,enormous
achterbahn,roller coaster
niedergebrannt,burned down
spalt,gap
parkhaus,parking garage
wesentlichen,essential
hamster,hamster
unternehmer,entrepreneur
retteten,saved
gezerrt,dragged
casanova,Casanova
aufgeladen,charged
aufwuchs,growth
panisch,panicked
machine,machine
glänzen,shine
ordentliche,ordinary
mördern,murder
atlantik,Atlantic
verkorkst,screwed up
ladyschaft,lady
pinsel,paint brush
por,por
wählst,choose
koffein,caffeine
kol,kol
verteidigst,defiant
perversling,perversing
lücken,Gaps
einigermaßen,somewhat
gesunder,healthier
che,che
schwörst,swear
türsteher,bouncer
guillaume,Guillaume
boah,boah
stiche,stitch
schneesturm,snowstorm
rausziehen,pull out
luka,Luka
gesteuert,controlled
pubertät,puberty
aufkommen,come up
sykes,sykes
theke,counter
meerjungfrau,mermaid
ausgibt,outputs
propaganda,propaganda
tüten,peg
ausländischen,foreign
ingenieure,engineer
unterhielten,entertained
zod,zod
schwierigste,most difficult
maja,Maja
lehrling,apprentice
bam,bam
aufwache,wake up
krater,crater
vorbeigehen,pass
bahamas,Bahamas
marschall,marshal
funktionen,functions
nero,nero
comic,comic
grande,Grande
dümmer,dumber
aufregender,more exciting
schwimmbad,swimming pool
alledem,all of this
pfahl,stake
wellington,Wellington
ringo,ringo
pracht,splendor
etagen,Floors
lsd,LSD
j.r.,J.R.
urkunde,certificate
rummel,hustle and bustle
fackeln,torch
urgroßvater,great -grandfather
darbietung,performance
tierisch,animal
kathleen,Kathleen
ain,ain
kartons,box
neige,raven
kirschen,cherries
maschinengewehr,machine gun
poe,poe
rodriguez,Rodriguez
blackout,blackout
crawley,crawley
gepasst,fitted
feigen,fig
mitgliedern,members
wertvollen,valuable
späher,scout
meisters,champions
beecher,Beecher
hypothetisch,hypothetical
god,God
rice,rice
brother,brother
ansager,announcer
going,going
kaputtmachen,break something
hampton,hambepton
versperrt,blocked
offenheit,openness
pferdchen,horse
janine,Janine
rannten,ran
emerson,Emerson
niedriger,lower
rausnehmen,take out
linkshänder,left handed
wickeln,wrap
wütende,angle
lieblingsessen,favorite Food
t.j.,T.J.
exemplare,specimens
handyklingeln,cell phone rings
ehrenwerte,honorable
centauri,Centauri
miez,kitty
micah,micah
zerbrach,broke
verzeihst,forgive
schwacher,weaker
watts,watts
skulptur,sculpture
jedermanns,everyone
völlige,complete
unterdrückung,oppression
gebüsch,bushes
fucking,fucking
magd,maid
schultag,school day
dion,dion
bbc,BBC
reha,rehabilitation
taucher,Diver
biologischen,biological
dummerweise,stupidly
mikes,Mikes
guido,guido
lexie,lexie
rabe,Crow
entwürfe,drafts
landwirtschaft,Agriculture
unbequem,uncomfortable
flippt,freaking
malerei,painting
gewässer,water
bubba,bubba
krumm,crooked
überlastet,overloaded
scheißkerle,chisel
haute,hood
selbstzerstörung,Self-destruction
eisernen,iron
smiley,smiley
amüsierst,amused
casper,casper
plätzen,places
tropft,dripped
mc,MC
katholische,Catholic
andi,and I
manuell,manually
vorarbeiter,foreman
schubs,thrust
benton,benton
verhelfen,help
beschäftige,employ
zelte,tents
neigung,Tilt
giulia,Giulia
raoul,Raoul
schweigepflicht,confidential duty
pokern,poker
miau,meow
spionage,espionage
begeistern,inspire
fertiggemacht,ready
markierung,mark
ying,ying
krähe,crow
carmine,carmine
marquez,Marquez
knüppel,stick
eintragen,register
alfie,alfie
spritzt,splash
kaff,kaffy
rausgelassen,let out
strohhalm,drinking straw
recherchen,research
gleichmäßig,uniform
j.t.,J.T.
aura,aura
automatische,automatic
bumst,fuck
gig,gig
arterie,artery
lecter,lecter
blondie,blondie
verfolgten,persecuted
durchlaufen,run through
grobe,rough
zauberhaften,magical
gelächelt,smiled
cockpit,cockpit
vollmacht,power of attorney
dixie,dixie
gekratzt,scratched
beta,beta
respektvoll,respectful
hard,hard
professioneller,more professional
prostituierten,prostitute
gefährten,companion
entbehren,do without
jungfräulichkeit,virginity
täglichen,daily
unterhalte,maintenance
korsak,Corsac
rockstar,rock star
verdrängt,repressed
zement,cement
verschone,spare
ewiges,eternal
untersagt,forbidden
staatlichen,state
tubbs,tubbs
visage,visa
schlüpfen,Hatch
jag,jag
umgibt,surrounded
konrad,Konrad
beschäftigung,occupation
eingeborenen,native
heikle,delicacy
standhalten,withstand
reilly,vine
aufschrei,outcry
vermag,can
schnürsenkel,laces
rettungswagen,ambulance
gala,gala
schwuchteln,stone
memorial,memorial
auffällt,noticeable
gewöhne,wet
übersteigt,exceeded
mutigen,brave
scheiterhaufen,pyre
permanent,permanent
machtest,power
kã,kitchen
kulissen,scenery
psychiatrische,psychiatric
armand,armand
zusammensetzen,put together
offizieller,official
eingehalten,adhered to
oakland,Oakland
glücks,lucky
crichton,Crichton
wink,wink
jacky,jacky
überlebst,survived
radius,radius
nachwuchs,offspring
winselt,whimpered
natürlicher,more natural
kristen,kristen
risse,crack
stewardess,stewardess
babies,babies
geschenken,gifts
labs,lab
gefreiter,pork
dirty,dirty
full,full
garfield,Garfield
endlosen,endless
erfolglos,unsuccessful
destiny,destiny
pharao,pharaoh
knutschen,smooch
rechtmäßigen,legitimate
sutter,Sutter
liebesgeschichte,love story
notfälle,emergencies
stiften,pencil
buchladen,bookstore
abbie,abbie
superkräfte,superpower
erhobenen,raised
gefälschten,fake
bewaffneter,armed
architekten,architect
geformt,shaped
tourist,tourist
delia,Delia
predigen,preaching
tonic,tonic
eingefädelt,threaded
geronimo,Geronimo
titan,titanium
faktor,factor
untersuchte,examined
hieße,bourgeois
ig,IG
stiel,stalk
galaxis,galaxy
erzwingen,force
channel,channel
unternehmens,company
puerto,Puerto
herausholen,get out
tatwaffe,weapon
mall,mall
offensive,offensive
behauptung,claim
sehnt,longing
mã,mou
tippe,tip
solang,as long as
schmeicheln,flatter
unterstellen,subordinate
überzeugte,convinced
mitarbeiterin,colleague
wegziehen,pull away
zärtlichkeit,tenderness
hacke,hoe
bescheuerte,stupid
geisteskrank,mentally ill
wahrnehmen,perceive
aufnimmt,pick up
nothing,emergencyhing
präsidium,presidium
bewerber,applicant
spirituelle,spiritual
fröhlichen,cheerful
spannen,tighten
behauptest,claimed
klettert,climbs
unterschriften,signatures
ferner,further
sowjets,Soviets
arztes,doctor
eduard,Eduard
durchmachst,go through
yi,yi
blank,blank
tanten,aunts
lohnen,be worthwhile
verhauen,slacken
macy,macy
enterprises,enterprises
anstellt,set
erwachte,awakened
erkundigen,inquire
programmieren,program
fanatiker,fanatic
gillian,Gillian
bohrer,drill
festes,solid
pralinen,chocolates
haste,have you
sully,Sully
beistand,assistance
suzy,suzy
hackfleisch,minced meat
olle,oll
verlobungsring,engagement ring
spielregeln,rules of the game
compton,compton
widerling,adversity
wäscherei,laundry
psychologe,psychologist
samstags,Saturdays
anhält,pending
anprobieren,try on
maskottchen,mascot
auschwitz,Auschwitz
alarmieren,alert
insekt,insect
verräterin,traitor
farce,farce
martine,Martine
micky,micky
mixer,mixer
berücksichtigt,taken into account
mer,mer
bibi,Bibi
krankenhauses,hospital
söhnen,sons
nasen,nose
parasit,parasite
absoluten,absolute
niklaus,Niklaus
recherchieren,research
katholiken,Catholics
annehme,accept
eingestehen,admit
dasein,to be there
unterkriegen,get down
entnehmen,remove
lorelei,lorine
misty,Misty
leela,Leela
blitze,flash
notwendige,necessary
westküste,West Coast
grossartig,great
loge,lodge
verwechslung,confusion
bashir,bashir
aufgetreten,performed
tragischen,tragic
bonbon,sweet
ghetto,ghetto
arlene,Arlene
piano,piano
stattfand,took place
lebendige,lively
lonnie,lonnie
sanfter,gentle
rascheln,rustle
zugänglich,accessible
bloody,Bloody
bankier,banker
tyrannei,tyranny
udo,Udo
stinker,stinker
lächelte,smiled
versäumen,miss
romantischer,romantic
verzieht,dredged
viv,viv
ohrfeige,slap
gewaltsam,forcibly
quatscht,ratio
gretel,gretel
kobold,leprechaun
befehlshaber,commander
wilkes,Wilkes
eiserne,iron
dachtet,ducked
kerls,guy
beisammen,together
würgen,strangle
unteroffizier,non -commissioned officer
reagierst,react
pusten,blow
befolge,obey
these,thesis
überschätzt,overrated
überführen,transfer
hineingehen,go in
hinführen,lead
fledermäuse,bats
reizt,stimulating
bankräuber,bank robber
body,body
beleidigungen,insults
vorspeise,starter
toronto,Toronto
umbringe,convert
sofortiger,immediate
müllcontainer,garbage container
tomate,tomato
exekution,execution
sirup,syrup
unabhängige,independent
hallelujah,Hallelujah
glänzt,shiny
besagen,say
konfrontation,confrontation
aussterben,die out
ausstattung,Furnishing
fotografie,photography
nationalgarde,national guard
aufhöre,stop
morddezernat,murder
schweinefleisch,pork meat
six,Six
yoko,yoko
reizen,stimulate
brutaler,brutal
urteile,judgments
empfehlungen,recommendations
cheyenne,cheyenne
pippi,pippi
irische,Irish
bäh,trouble
gouverneurs,governor
eifer,zeal
mutation,mutation
mittlere,medium
vornehm,noble
spekulation,speculation
weiblicher,female
defiant,defiant
ch,ch
